date;steps;distance;calories;heart_rate
27.05.2018;4646;3503;137;73
28.05.2018;11496;8240;284;70
29.05.2018;11762;8900;313;74
30.05.2018;25523;19419;668;73
31.05.2018;16878;12535;445;70
01.06.2018;10058;7625;281;72
02.06.2018;550;356;16;73
03.06.2018;9824;7342;259;74
04.06.2018;16021;12165;423;74
05.06.2018;23052;17658;638;70
06.06.2018;2037;1376;52;70
07.06.2018;6853;4882;166;71
08.06.2018;8010;5960;216;75
09.06.2018;9754;7166;253;75
10.06.2018;11912;8951;316;73
11.06.2018;6404;4154;143;70
12.06.2018;6583;4364;147;71
13.06.2018;23325;16699;553;74
14.06.2018;6893;4937;165;71
15.06.2018;15944;11308;377;71
16.06.2018;504;326;18;74
17.06.2018;4112;3098;117;75
18.06.2018;21672;15739;540;73
19.06.2018;7441;5477;193;73
20.06.2018;21969;16240;538;73
21.06.2018;942;609;24;70
22.06.2018;11204;8169;288;70
23.06.2018;19549;14417;468;73
24.06.2018;14428;10315;345;72
25.06.2018;32452;23487;742;75
26.06.2018;11609;8222;284;70
27.06.2018;7496;5334;178;75
28.06.2018;17544;12651;431;73
29.06.2018;748;483;20;73
30.06.2018;4837;3189;101;73
01.07.2018;4332;3248;121;74
02.07.2018;19088;13341;441;73
03.07.2018;24347;17648;612;72
04.07.2018;675;436;20;74
05.07.2018;2831;1964;70;71
06.07.2018;6193;4454;157;73
07.07.2018;13472;10588;408;73
08.07.2018;1008;652;27;73
09.07.2018;11770;8287;282;70
10.07.2018;14775;10911;393;73
11.07.2018;1012;654;28;72
12.07.2018;1323;855;39;74
13.07.2018;15506;11303;408;75
14.07.2018;2099;1516;57;75
15.07.2018;1110;717;28;71
16.07.2018;26510;19851;698;73
17.07.2018;809;523;25;74
18.07.2018;530;343;16;73
19.07.2018;4034;2884;104;71
20.07.2018;639;413;21;72
21.07.2018;2923;2176;83;74
22.07.2018;29767;21943;720;75
23.07.2018;14913;10478;338;75
24.07.2018;3105;2272;81;75
25.07.2018;1037;670;28;72
26.07.2018;16949;12268;401;72
27.07.2018;8090;5897;202;75
28.07.2018;15858;10815;335;70
29.07.2018;5417;3696;119;73
30.07.2018;14412;10589;347;72
31.07.2018;9136;6569;224;74
